sample_id,condition,batch
8ee94af8-9754-4c1e-ad65-cd0877359bb1,2,CPTAC-3
8f2bec2c-7a61-4749-bfb1-3c5dba953c8a,0,TCGA-LUSC
8f38c040-1ef7-4f47-90d5-d5a8808f8abb,1,CGCI-HTMCP-LC
8f5bb09d-e15a-4938-aad1-85c1b2d79af9,0,TCGA-LUSC
8f9a13f8-f9c3-43dc-8822-10b5695868d1,2,CPTAC-3
8fadb6d4-de92-4301-9b6e-7dd857fec978,0,TCGA-LUAD
01977422-7f46-41d2-bc19-ed0093af8f25,0,TCGA-LUSC
0f3755ec-9e0e-4fc9-ae14-a32d6b486a7e,2,TCGA-LUSC
8fb54c33-b0f2-46b3-ba95-7d5dc6298fd2,2,CPTAC-3
8fbab03e-c381-49ce-8038-1eae71f1fa9b,2,CPTAC-3
900e2ab6-81de-4b45-bd09-9308b4baa468,0,CGCI-HTMCP-LC
901c6ff1-19bf-48d8-894d-766f1995a916,0,TCGA-LUAD
905f0b11-0d02-4e19-a15b-93b56b6b94a7,0,TCGA-SKCM
906a6a3f-91ce-4433-9a0d-e010a61782f0,0,TCGA-LUAD
909579cf-e93f-4202-9d1b-f36415efe6e6,2,CPTAC-3
90cf1bc5-1f8a-47b9-af32-12738b749817,0,TCGA-LUSC
0f37f5ba-3582-4c61-8c70-bf9b0ede6e71,0,TCGA-LUAD
9123a775-d686-49ab-90e7-0dc572c2fcaf,0,TCGA-LUAD
91540fee-797a-4354-8cc4-9b7514f3cbc6,2,CPTAC-3
915f5f6d-b66b-4ffd-a095-a6bb60387d2f,1,TCGA-LUSC
91ee8fd1-4e0d-4d24-ae90-255e50761426,2,CPTAC-3
92437843-a04e-404e-97b5-383258cc024c,1,CPTAC-3
92930b46-8ef9-4d4b-8506-dae7b3247b93,1,CPTAC-3
0f6c6bd3-2f1c-4358-9ce0-00cbef1693bc,0,TCGA-LUSC
929473bf-434c-438e-b16c-c34bfb0b98ea,2,TCGA-LUAD
92b4ef29-b45a-4ec4-9251-8d6fb32cde90,0,TCGA-LUAD
93288581-37b8-4e24-83ce-d1668ffe7a5f,1,TCGA-LUSC
932ccb56-ad41-40a0-9ab3-21f490c60af5,1,TCGA-LUAD
934cfa64-a8c4-4d48-a722-b0182e7cf54c,1,CPTAC-3
9356c4bb-7029-460f-882d-1dacf8fbe63e,2,CPTAC-3
9364cedf-16c0-4d5b-9ae9-2e5e3d3c8506,0,TCGA-LUSC
93a0a10c-0eca-4b90-929b-7174ba14575e,2,CPTAC-3
93db566e-8ff9-45b0-afa2-0fbe82b8f580,2,TCGA-LUAD
0f88742e-ebfe-4d72-9720-5b5db9057b79,2,CPTAC-3
94248ac5-2e1f-4c1e-a7ea-3341dea0ef31,2,CPTAC-3
942673a7-5072-466f-985c-42d38aeb5c2c,0,TCGA-LUAD
942ddc9f-5290-433a-b8d2-fed74805b434,0,EXCEPTIONAL_RESPONDERS-ER
943d7e24-0b89-4ea8-9e86-573a7187a58b,0,TCGA-LUSC
944adc4b-049d-4bce-90a0-d1b18a2d1e5e,1,TCGA-LUSC
946692ad-ed52-4bd8-85ac-efe5178b15b4,2,TCGA-LUAD
94844fdc-504a-4431-a9e5-9397ba154bfc,1,CPTAC-3
94861d8a-3b40-4334-9fb5-c9df71a1e1da,0,TCGA-LUAD
0f8d9955-f171-43ba-96d2-0050ae93644c,2,CPTAC-3
94cab1e2-dcd6-43b7-b359-75b0c4a485ba,2,TCGA-LUSC
94d8b11e-0198-4f40-987a-44691b3b03fa,0,TCGA-LUAD
951f2356-17f4-4f4f-a8ec-855c7e93dce1,2,TCGA-LUAD
9529e541-f035-4274-885f-f530af1d87d0,2,CPTAC-3
955d8650-e251-40a0-90f1-342881ab6570,2,CPTAC-3
95703d3e-afe0-4dca-a3e0-997382fcb852,2,APOLLO-LUAD
95a4b2c8-1c16-4607-bce8-cbba24dc7978,0,CGCI-HTMCP-LC
964fcdaf-b5d1-4fc2-8d3a-08013d6fe4d8,0,TCGA-LUSC
966086a2-7a30-42e7-bd34-60942d862258,0,TCGA-LUSC
966cba2c-ca26-4861-8ed6-d6682511000a,2,TCGA-LUSC
968c4aa2-2bcd-4823-b7fa-fbedc41ddb25,0,TCGA-LUAD
96c4cf1d-ca50-4abb-81fd-4eb090111a4c,0,TCGA-LUSC
96fb95cb-f5f3-47b3-9c6e-5ebca8ac17e9,2,HCMI-CMDC
9711a58c-08fc-428f-93a1-3d3db7df213e,0,TCGA-LUAD
9726aa3d-8a66-4568-92e5-c092c05a9a5d,0,TCGA-LUAD
975121d2-ba5d-4b2c-bd50-278311c7144a,0,TCGA-LUAD
1001bb71-0ebe-4c9f-aba1-5f0fe2f3c4a6,2,APOLLO-LUAD
97541ffe-94e7-4130-9bac-65528de8d6f5,0,TCGA-LUAD
978939fa-a27f-46ff-9120-7a43e3588b28,1,TCGA-LUAD
9796354a-6ac6-466b-a82b-f1e9785bc447,0,TCGA-LUAD
97df56d6-9763-4560-a585-9538af164cfe,0,TCGA-LUSC
